logit_fp_fn_nums
1
2
8
10
46
57
88
100
114
130
150
182
183
185
239
249
252
254
301
407
423
449
453
501
503
516
518
526
531
542
547
573
580
592
655
910
912
913
980
1032
1033
1034
1035
1041
1067
1069
1092
1093
1094
1099
1100
1101
1117
1121
1128
1130
1135
1140
1141
1142
1144
1145
1147
1149
1150
1152
1190
1219
1222
1226
1233
1234
1264
1279
1281
1282
1283
1300
1471
1482
1484
1510
1522
1574
1575
1576
1579
1585
1588
1589
1594
1600
1618
1620
1622
1623
1693
1723
1780
1828
1829
1830
1832
1833
1844
1845
1846
1847
1848
1849
1850
1852
1853
1858
1863
1869
1872
1873
